Accident_Number,Event_Date,Year,Location,Country,Latitude,Longitude,Airport_Code,Airport_Name,Injury_Severity,Aircraft_Damage,Registration_Number,Make,Model,Schedule,Air_Carrier,Total_Fatal_Injuries,Total_Serious_Injuries,Total_Uninjured,Weather_Condition,Weather_Condition_Cleaned,Total_Concerned,Broad_Phase_of_Flight
ATL00LA092,9/17/00,2000,"ATLANTA, GA",United States,,,,,Non-Fatal,,N853AS,Bombardier,CRJ-200,SCHD,(DBA: DELTA CONNECTION),0,1,50,VMC,VMC,51,CRUISE
DCA08FA018,12/16/07,2007,"Providence, RI",United States,,,KPVD,Theodore F. Green State,Non-Fatal,Substantial,N470ZW,Bombardier,CL-600,SCHD,Air Wisconsin Airlines,0,0,34,IMC,IMC,34,LANDING
DCA10CA018,12/18/09,2009,"Dallas, TX",United States,32.896944,-97.038055,DFW,Dallas/Fort Worth Intl Airport,Non-Fatal,Substantial,N515AE,Bombardier,CL-600,SCHD,American Eagle,0,0,3,VMC,VMC,3,STANDING
ENG12IA004,10/23/11,2011,"Atlanta, GA",United States,,,ATL,Hartsfield-Jackson Atlanta Int,Incident,,N751EV,Bombardier,CL-600,SCHD,ATLANTIC SOUTHEAST AIRLINES INC,0,0,,,NA,0,LANDING
DCA11CA084A,7/14/11,2011,"Boston, MA",United States,42.353333,-71.014444,BOS,GENERAL EDWARD LAWRENCE LOGAN,Non-Fatal,Substantial,N132EV,Bombardier,CL-600,SCHD,ATLANTIC SOUTHEAST AIRLINES INC (DBA: ATLANTIC SOUTHEAST AIRLINES -Delta Connection),0,0,291,VMC,VMC,291,STANDING
ATL02FA113,6/2/02,2002,"Atlanta, GA",United States,33.645277,-84.433056,ATL,Atlanta Hartsfield,Non-Fatal,Substantial,N849AS,Bombardier,CL-600,SCHD,"Atlantic Southeast Airlines, Inc.",0,0,53,VMC,VMC,53,LANDING
DCA09FA033,2/28/09,2009,"Tallahassee, FL",United States,30.396389,-84.350278,TLH,Tallahassee Regional Airport,Non-Fatal,Substantial,N830AS,Bombardier,CRJ-200,SCHD,"Atlantic Southeast Airlines, Inc.",0,0,2,,NA,2,STANDING
CHI01LA066,1/8/01,2001,"Detroit, MI",United States,,,DTW,DETROIT METROPOLITAN WAYNE CO.,Non-Fatal,Substantial,N784CA,Bombardier,CL-600,SCHD,COMAIR INC,0,0,31,VMC,VMC,31,STANDING
NYC01IA072,1/3/01,2001,"Covington, KY",United States,,,,,Incident,Minor,N933CA,Bombardier,CL-600,SCHD,COMAIR INC,0,0,46,VMC,VMC,46,APPROACH
ENG14IA029,9/13/14,2014,"Hodeida, Yemen",Yemen,14.764444,42.981945,,N/A,Incident,Minor,7O-FAB,Bombardier,CRJ-700,SCHD,Felix Airways,0,0,,UNK,UNK,0,TAKEOFF
WPR13IA144,3/5/13,2013,"Danville, CA",United States,37.839444,-122.003333,SJC,Norman Y. Mineta San Jose Int,Incident,Minor,N417QX,Bombardier,DHC-8,SCHD,Horizon Air,0,0,51,VMC,VMC,51,CLIMB
WPR13LA431,9/29/13,2013,"Reno, NV",United States,39.498889,-119.768056,,N/A,Non-Fatal,,N449QX,Bombardier,DHC-8,SCHD,Horizon Air Industries Inc,0,1,58,VMC,VMC,59,APPROACH
SEA02IA044,3/1/02,2002,"Boise, ID",United States,,,,,Incident,,N410QX,Bombardier,DHC-8,SCHD,Horizon Airlines,0,0,73,VMC,VMC,73,CRUISE
NYC05LA013,10/27/04,2004,"Philadelphia, PA",United States,39.871945,-75.241111,PHL,Philadelphia International,Non-Fatal,Substantial,N592ML,Bombardier,CL-600,SCHD,MESA AIRLINES INC (DBA: US Airways Express),0,0,41,VMC,VMC,41,TAXI
CEN09FA094,12/15/08,2008,"Chicago, IL",United States,41.980834,-87.906389,ORD,Chicago O'Hare International,Incident,Minor,N511MJ,Bombardier,CL-600,SCHD,"Mesa Airlines, Inc",0,0,32,VMC,VMC,32,APPROACH
DFW05LA047,12/29/04,2004,"Austin, TX",United States,30.201944,-97.666667,AUS,Austin-Bergstrom International,Non-Fatal,,N506MJ,Bombardier,CL-600,SCHD,"Mesa Airlines, Inc.",0,1,59,VMC,VMC,60,OTHER
DCA07FA037,4/12/07,2007,"Traverse City, MI",United States,44.741666,-85.593333,KTVC,Cherry Capitol Airport,Non-Fatal,Substantial,N8905F,Bombardier,CL-600,SCHD,PINNACLE AIR INC (DBA: Northwest Airlink),0,0,52,IMC,IMC,52,LANDING
CHI05FA077,3/11/05,2005,"Milwaukee, WI",United States,42.931667,-87.898055,MKE,Milwukee/General Mitchell,Non-Fatal,Substantial,N8932C,Bombardier,CL-600,SCHD,Pinnacle Airlines,0,0,12,IMC,IMC,12,CLIMB
DCA05MA031,2/2/05,2005,"Teterboro, NJ",United States,,,KTEB,Teterboro NJ,Non-Fatal,Substantial,N370V,Bombardier,CL-600,NSCH,Platinum Jet Managment,0,4,0,VMC,VMC,4,TAKEOFF
DCA10IA022,1/19/10,2010,"Charleston, WV",United States,,,CRW,Yeager Airport,Incident,Minor,N246PS,Bombardier,CL-600,SCHD,PSA AIRLINES INC (DBA: USAirways Express),0,0,34,VMC,VMC,34,TAKEOFF
DCA12CA035,2/3/12,2012,"San Francisco, CA",United States,37.618889,-122.374723,KSFO,San Francisco International,Non-Fatal,Substantial,N912SW,Bombardier,CL-600,SCHD,SkyWest Airlines,0,0,52,VMC,VMC,52,STANDING
CHI08LA051,12/16/07,2007,"Chicago, IL",United States,41.978611,-87.904722,ORD,Chicago O'Hare Intl,Non-Fatal,Substantial,N918SW,Bombardier,CL-600,SCHD,Skywest Airlines Inc,0,1,32,VMC,VMC,33,TAXI
CHI04IA056,1/17/04,2004,"Rapid City, SD",United States,44.045277,-103.057222,RAP,Rapid City Regional Airport,Incident,Minor,N595SW,Bombardier,CL-600,SCHD,SKYWEST AIRLINES INC (DBA: Skywest Airlines),0,0,35,IMC,IMC,35,LANDING
ENG10IA055,9/28/10,2010,"Milwaukee, WI",United States,42.947222,-87.896666,MKE,GENERAL MITCHELL INTL,Incident,Minor,N498CA,Bombardier,CL-600,SCHD,"SKYWEST AIRLINES, Inc.",0,0,39,VMC,VMC,39,LANDING
ERA09LA538,9/27/09,2009,"Vineyard Haven, MA",United States,41.393055,-70.614444,MVY,Martha's Vineyard,Non-Fatal,Substantial,N190MP,Bombardier,CL-600,,,0,0,4,IMC,IMC,4,LANDING
CEN09LA088,12/14/08,2008,"Gary, IN",United States,41.616111,-87.412778,GYY,Gary International Airport,Non-Fatal,Substantial,N573BA,Bombardier,CL-600,,,0,0,3,VMC,VMC,3,LANDING
NYC01IA024,10/26/00,2000,"FALMOUTH, KY",United States,,,,,Incident,,N958CA,Bombardier,CL-600,SCHD,,0,0,50,VMC,VMC,50,CRUISE
NYC01LA023A,10/23/00,2000,"NEW YORK, NY",United States,,,LGA,LA GUARDIA,Non-Fatal,Substantial,N804CA,Bombardier,CL-600,SCHD,,0,0,81,VMC,VMC,81,TAXI
ENG13WA026,5/6/13,2013,"Osaka, Japan, Japan",Japan,,,RJOO,Osaka International Airport,Incident,Minor,,Bombardier,CL-600,SCHD,,0,0,55,,NA,55,
DCA09WA031,2/24/09,2009,"Santander, Spain",Spain,,,,,Incident,,,Bombardier,CL-600,SCHD,,0,0,,,NA,0,
NYC04LA174,7/21/04,2004,"Snow Hill, VA",United States,38.056389,-75.463889,,,Non-Fatal,,N995CA,Bombardier,CL-600,SCHD,,0,1,4,VMC,VMC,5,MANEUVERING
LAX03IA199,6/13/03,2003,"Phoenix, AZ",United States,33.434166,-112.008056,KPHX,Phoenix Sky Harbor Intl,Incident,,N97325,Bombardier,CL-600,SCHD,,0,0,52,VMC,VMC,52,CLIMB
NYC03LA101,5/7/03,2003,"Boston, MA",United States,42.366945,-71.008611,BOS,Logan International Airport,Non-Fatal,Substantial,N484CA,Bombardier,CL-600,SCHD,,0,0,3,VMC,VMC,3,STANDING
CHI03FA014,10/24/02,2002,"Chicago, IL",United States,41.979445,-87.904444,ORD,CHICAGO O'HARE INTL,Non-Fatal,Substantial,N681BR,Bombardier,CL-600,SCHD,,0,0,48,VMC,VMC,48,TAXI
DCA16WA045,1/8/16,2016,"Kiruna, Sweden",Sweden,,,,,Fatal(2),Destroyed,,Bombardier,CL-600,,,2,0,,,NA,2,
ENG13WA044,9/7/13,2013,"Moscow, Russia",Russia,,,,,Incident,,,Bombardier,CL-600,,,0,0,10,,NA,10,
DCA13WA050,1/29/13,2013,"Almaty, Kazakhstan",Kazakhstan,,,,,Fatal(21),Destroyed,,Bombardier,CL-600,SCHD,,21,0,,,NA,21,
DCA13WA003,10/16/12,2012,"Lorient, France",France,,,,,Incident,Minor,,Bombardier,CL-600,SCHD,,0,0,57,,NA,57,
DCA15WA182,7/27/15,2015,"Makassar, Indonesia",Indonesia,,,,,Incident,,,Bombardier,CL-600,,,0,0,98,,NA,98,TAXI
ATL03IA126,8/13/03,2003,"Raleigh Durham, NC",United States,35.883056,-78.790277,RDU,Raleigh Durham International,Incident,Minor,N451CA,Bombardier,CL-600,SCHD,,0,0,23,VMC,VMC,23,CRUISE
NYC02IA097,5/8/02,2002,"Covington, KY",United States,39.046111,-84.662222,,,Incident,,N709CA,Bombardier,CL-600,SCHD,,0,0,18,IMC,IMC,18,CRUISE
DCA05RA010,11/21/04,2004,"Baotou, China",China,,,,,Fatal(55),Destroyed,,Bombardier,CRJ-200,SCHD,,55,0,,VMC,VMC,55,
ENG11WA045,8/15/11,2011,"Lyon, France, France",France,,,LYS,Lyon Saint Exupery Airport,Incident,Minor,,Bombardier,CRJ-700,SCHD,,0,0,,,NA,0,
ENG11RA042,7/21/11,2011,"Edinburgh, United Kingdom",United Kingdom,,,,,Incident,,,Bombardier,DHC-8,SCHD,,0,0,,,NA,0,
ENG10RA017,12/21/09,2009,"London, United Kingdom",United Kingdom,,,LGW,London Gatwick,Incident,Minor,,Bombardier,DHC-8,SCHD,,0,0,,,NA,0,
SEA03FA024,1/8/03,2003,"Medford, OR",United States,42.446944,-122.860556,MFR,Rogue Valley Int.,Non-Fatal,Substantial,N409QX,Bombardier,DHC-8,SCHD,,0,1,31,VMC,VMC,32,APPROACH
LAX05FA202,6/12/05,2005,"Los Angeles, CA",United States,33.9425,-118.408056,LAX,Los Angeles International Airp,Non-Fatal,Substantial,N960SW,Bombardier,CL-600,SCHD,,0,0,17,VMC,VMC,17,APPROACH
DCA13CA066,12/5/12,2012,"New York, NY",United States,40.777223,-73.8725,KLGA,LaGuardia,Non-Fatal,Substantial,N411ZW,Bombardier,CL-600,SCHD,Air Wisconsin (DBA: US Airways Express),0,0,3,VMC,VMC,3,APPROACH
ERA11CA010,10/4/10,2010,"New York, NY",United States,40.773056,-73.870278,LGA,La Guardia Airport,Non-Fatal,,N414ZW,Bombardier,CL-600,SCHD,Air Wisconsin Airlines Corporations (DBA: US Airways Express),0,1,52,VMC,VMC,53,STANDING
CEN12LA457,7/18/12,2012,"Peoria, IL",United States,40.664167,-89.693333,PIA,General Downing-Peoria,Non-Fatal,,N502AE,Bombardier,CL-600,SCHD,"AMERICAN EAGLE AIRLINES INC (DBA: AMERICAN EAGLE AIRLINES, INC.)",0,1,56,VMC,VMC,57,APPROACH
ERA09IA338,6/11/09,2009,"Atlanta, GA",United States,33.636666,-84.428056,ATL,Hartsfield Jackson ATL Inter.,Incident,Minor,N857AS,Bombardier,CL-600,SCHD,Atlantic Southeast Airlines,0,0,22,VMC,VMC,22,LANDING
CEN11IA615,9/1/11,2011,"Baton Rouge, LA",United States,30.532778,-91.149722,BTR,Baton Rouge Metropolitan,Incident,Minor,N875AS,Bombardier,CL-600,SCHD,ATLANTIC SOUTHEAST AIRLINES INC,0,0,53,VMC,VMC,53,LANDING
ENG15IA024,6/5/15,2015,"Windsor Locks, CT",United States,41.939166,-72.683334,BDL,BRADLEY INTL,Incident,Minor,N363PH,Bombardier,DHC-8,SCHD,CHAMPLAIN ENTERPRISES INC (DBA: CommutAir - United Express),0,0,37,VMC,VMC,37,APPROACH
ERA09LA529,8/29/09,2009,,United States,,,,Unknown,Unavailable,Substantial,N367PH,Bombardier,DHC-8,SCHD,CHAMPLAIN ENTERPRISES INC (DBA: CommutAir),0,0,,,NA,0,UNKNOWN
DCA12FA058,4/7/12,2012,"Houston, TX",United States,29.9775,-95.333334,IAH,Geoarge Bush Intercontinental,Non-Fatal,Substantial,N213WQ,Bombardier,DHC-8,SCHD,COLGAN AIR INC,0,0,35,VMC,VMC,35,LANDING
DCA09MA027,2/12/09,2009,"Clarence Center, NY",United States,43.011111,-78.634722,BUF,Buffalo-Niagara International,Fatal(50),Destroyed,N200WQ,Bombardier,DHC-8,SCHD,COLGAN AIR INC (DBA: Continental Connection),50,0,,VMC,VMC,50,APPROACH
DCA12CA122B,8/10/12,2012,"Dulles, VA",United States,38.9475,-77.45,IAD,Washington Dulles Internationa,Non-Fatal,Substantial,N341NG,Bombardier,DHC-8,SCHD,COLGAN AIR INC (DBA: United Express),0,0,270,VMC,VMC,270,STANDING
ENG11IA021,3/17/11,2011,"Pittsburgh, PA",United States,40.431667,-80.034444,,N/A,Incident,Minor,N339NG,Bombardier,DHC-8,SCHD,"Colgan Air, Inc.",0,0,40,UNK,UNK,40,
CEN10IA219,4/18/10,2010,"Kansas City, MO",United States,39.298333,-94.713333,,,Incident,,N160GJ,Bombardier,CL-600,SCHD,GOJET AIRLINES LLC (DBA: United Express),0,0,70,VMC,VMC,70,CLIMB
WPR11LA042,11/8/10,2010,"Los Angeles, CA",United States,34.236389,-118.339722,LAX,Los Angeles International,Non-Fatal,Substantial,N422QX,Bombardier,DHC-8,SCHD,HORIZON AIR INDUSTRIES INC,0,0,77,VMC,VMC,77,DESCENT
ERA11CA327,6/5/11,2011,"Florence, SC",United States,34.071111,-79.889444,,NONE,Non-Fatal,,N929LR,Bombardier,CL-600,SCHD,Mesa Airlines (DBA: US Airways Express),0,1,88,VMC,VMC,89,DESCENT
CEN11LA099B,12/4/10,2010,"Chicago, IL",United States,41.981389,-87.906667,ORD,Chicago O'Hare IAP,Non-Fatal,Substantial,N502MJ,Bombardier,CL-600,SCHD,MESA AIRLINES INC,0,0,37,VMC,VMC,37,STANDING
DCA15CA131,6/10/15,2015,"McCook, NE",United States,39.497222,-102.193889,,N/A,Non-Fatal,,N246LR,Bombardier,CL-600,SCHD,MESA AIRLINES INC,0,1,75,UNK,UNK,76,
CHI08IA119,4/24/08,2008,"Minneapolis, MN",United States,44.881945,-93.221667,MSP,Minneapolis-St Paul Intl.,Incident,,N918XJ,Bombardier,CL-600,SCHD,MESABA AVIATION INC,0,0,80,IMC,IMC,80,TAXI
CEN11IA264,3/30/11,2011,"Detroit, MI",United States,42.212222,-83.353333,DTW,Detroit Metro - Wayne County,Incident,,N8505Q,Bombardier,CL-600,SCHD,PINNACLE AIRLINES INC,0,0,27,VMC,VMC,27,UNKNOWN
DCA09FA011,11/13/08,2008,"Detroit, MI",United States,42.210833,-83.360278,DTW,Detroit Metropolitan Wayne Cou,Non-Fatal,Substantial,N8698A,Bombardier,CL-600,SCHD,"Pinnacle Airlines, Inc (DBA: Northwest Airlink)",0,0,20,IMC,IMC,20,TAXI
CEN11LA051,11/2/10,2010,"Chicago, IL",United States,41.978611,-87.904722,ORD,O'Hare International,Non-Fatal,Substantial,N709BR,Bombardier,CL-600,SCHD,SKYWAY AIRLINES INC,0,0,37,VMC,VMC,37,STANDING
ERA11CA046,11/2/10,2010,"Pittsburgh, PA",United States,40.488055,-80.226389,PIT,Pttsburgh International Airpor,Non-Fatal,Substantial,N454SW,Bombardier,CL-600,SCHD,SkyWest Airlines,0,0,41,VMC,VMC,41,STANDING
WPR11IA019,10/18/10,2010,"Phoenix, AZ",United States,33.434444,-112.011667,PHX,Phoenix Sky Harbor Intl.,Incident,Minor,N938SW,Bombardier,CL-600,SCHD,SkyWest Airlines (DBA: United Express),0,0,53,VMC,VMC,53,STANDING
CEN11IA379,6/6/11,2011,"Milwaukee, WI",United States,42.951667,-87.894166,MKE,GENERAL MITCHELL INTL,Incident,Minor,N866AS,Bombardier,CL-600,SCHD,SKYWEST AIRLINES INC,0,0,44,VMC,VMC,44,LANDING
WPR10IA256,5/23/10,2010,"Ontario, CA",United States,34.055833,-117.601111,ONT,Ontario International Airport,Incident,Minor,N925SW,Bombardier,CL-600,SCHD,SKYWEST AIRLINES INC,0,0,27,VMC,VMC,27,LANDING
WPR11LA058,11/23/10,2010,"Salt Lake City, UT",United States,40.788333,-111.977778,SLC,Salt Lake City,Non-Fatal,Substantial,N614SK,Bombardier,CL-600,SCHD,SKYWEST AIRLINES INC (DBA: Delta Connection),0,0,69,IMC,IMC,69,TAXI
DCA13CA008,10/17/12,2012,"Kabul, Afghanistan",Afghanistan,34.566667,69.201389,OAKB,Kabul International Airport,Non-Fatal,Substantial,N800AW,Bombardier,DHC-8,NSCH,,0,0,7,VMC,VMC,7,LANDING
ERA15WA034,11/11/13,2013,"Charallave, Venezuela",Venezuela,10.29,-66.815,SVCS,Oscar Machado Zuloaga,Non-Fatal,Substantial,N54VS,Bombardier,CL-600,,,0,0,2,,NA,2,
OPS09IA005A,5/29/09,2009,"Charlotte, NC",United States,35.213889,-80.943055,CLT,Charlotte/Douglas Internationa,Incident,,,Bombardier,CL-600,SCHD,,0,0,,VMC,VMC,0,TAKEOFF
OPS11IA552B,5/16/11,2011,"CHICAGO, IL",United States,,,KORD,Chicago Oäó»Hare International,Incident,,,Bombardier,CL-600,SCHD,,0,0,63,VMC,VMC,63,APPROACH
OPS10IA163A,4/29/10,2010,"Burbank, CA",United States,,,BUR,Bob Hope Airport,Incident,,,Bombardier,CL-600,SCHD,,0,0,,VMC,VMC,0,APPROACH
OPS08IA015A,9/19/08,2008,"Allentown, PA",United States,,,ABE,Allentown / Lehigh Valley Intl,Incident,,,Bombardier,CL-600,SCHD,,0,0,63,VMC,VMC,63,TAKEOFF
DCA15WA174A,8/3/15,2015,"Toronto, Canada",Canada,,,,,Incident,,N272PQ,Bombardier,CL-600,,,0,0,,,NA,0,LANDING
OPS09IA009A,6/26/09,2009,"Cleveland, OH",United States,,,CLE,Cleveland/Hopkins Int'l Airpor,Incident,,,Bombardier,DHC-8,SCHD,,0,0,66,VMC,VMC,66,TAKEOFF
ENG15RA010,12/16/14,2014,"Belfast, N Ireland, United Kingdom",United Kingdom,,,,,Incident,,,Bombardier,DHC-8,,,0,0,,,NA,0,CRUISE
DCA05IA072,6/9/05,2005,"colorado spring, CO",United States,,,,,Incident,,CGJAZ,Bombardier,CL-600,SCHD,Air Canada Jazz,0,0,66,,NA,66,CRUISE
DCA05MA071,5/31/05,2005,"Chicago O'Hare, IL",United States,,,ORD,Chicago O'Hare International,Non-Fatal,Minor,N417AW,Bombardier,CL-600,SCHD,Air Wisconsin Airlines Corporation (DBA: United Express),0,1,26,VMC,VMC,27,STANDING
DCA06MA064,8/27/06,2006,"Lexington, KY",United States,,,LEX,BLUE GRASS,Fatal(49),Destroyed,N431CA,Bombardier,CRJ-200,SCHD,COMAIR INC,49,1,,VMC,VMC,50,TAXI
SEA05LA184B,8/29/05,2005,"Portland, OR",United States,45.588611,-122.5975,PDX,Portland International,Non-Fatal,Substantial,N363PH,Bombardier,DHC-8,SCHD,Horizon Air,0,0,270,VMC,VMC,270,STANDING
SEA08IA080,2/13/08,2008,"Hilo, HI",United States,19.622223,-154.863889,PHTO,Hilo International Airport,Incident,,N651BR,Bombardier,CL-600,SCHD,Mesa Airlines (DBA: GO),0,0,43,VMC,VMC,43,CLIMB
DEN07IA055,1/25/07,2007,"Cripple Creek, CO",United States,38.739722,-105.304166,,,Incident,Minor,N17337,Bombardier,CL-600,SCHD,MESA AIRLINES INC,0,0,54,VMC,VMC,54,CLIMB
LAX06LA154,4/30/06,2006,"Las Vegas, NV",United States,36.08,-115.152222,LAS,Mc Carran International,Non-Fatal,Substantial,N909FJ,Bombardier,CL-600,SCHD,"Mesa Airlines, Inc.",0,0,89,VMC,VMC,89,TAXI
LAX07IA191,6/13/07,2007,"Phoenix, AZ",United States,33.434444,-112.011667,PHX,Pheonix Sky Harbor Intl.,Incident,,N7264V,Bombardier,CL-600,SCHD,"Mesa Airlines, Inc. (DBA: US Airways Express)",0,0,53,VMC,VMC,53,STANDING
ATL06IA054,3/19/06,2006,"Asheville, NC",United States,35.436111,-82.541666,AVL,Asheville Regional Airport,Incident,Minor,N8783E,Bombardier,CL-600,SCHD,"Pinnacle Airlines, Inc (DBA: Northwest Air Link)",0,0,33,VMC,VMC,33,CLIMB
NYC08LA234B,6/28/08,2008,"Charlotte, NC",United States,35.213889,-80.943055,CLT,Charlotte-Douglas,Non-Fatal,Substantial,N228PS,Bombardier,CL-600,SCHD,PSA AIRLINES INC (DBA: US Airways Express),0,0,112,VMC,VMC,112,STANDING
NYC08LA234A,6/28/08,2008,"Charlotte, NC",United States,35.213889,-80.943055,CLT,Charlotte-Douglas,Non-Fatal,Substantial,N725PS,Bombardier,CL-600,SCHD,PSA Airlines Inc. (DBA: US Airways Express),0,0,112,VMC,VMC,112,TAXI
CHI06IA011,10/17/05,2005,"West Grove, PA",United States,39.839166,-75.816945,,,Incident,Minor,N244PS,Bombardier,CL-600,SCHD,"PSA Airlines, Inc. (DBA: US Airways Express)",0,0,51,VMC,VMC,51,CLIMB
DEN08FA072,4/8/08,2008,"Colorado Spring, CO",United States,38.805556,-104.700556,,,Non-Fatal,Substantial,N483BA,Bombardier,CL-600,,,0,0,5,VMC,VMC,5,TAKEOFF
NYC07LA018,10/31/06,2006,"Teterboro, NJ",United States,40.886111,-74.386389,TEB,Teterboro Airport,Non-Fatal,,N322FX,Bombardier,CL-600,,,0,1,2,VMC,VMC,3,CRUISE
NYC07RA064,2/13/07,2007,"Moscow, Russia",Russia,,,,,Non-Fatal,Destroyed,N168CK,Bombardier,CL-600,,,0,2,,IMC,IMC,2,
LAX07CA077,1/31/07,2007,"Kaunakakai, HI",United States,21.150278,-157.096666,,,Non-Fatal,,N979HA,Bombardier,DHC-8,,,0,1,5,VMC,VMC,6,DESCENT
SEA08LA061A,1/13/08,2008,"San Francisco, CA",United States,37.618889,-122.374723,KSFO,San Francisco International,Non-Fatal,Substantial,N705SK,Bombardier,CL-600,SCHD,,0,0,61,VMC,VMC,61,TAXI
DEN08LA010,10/12/07,2007,"Denver, CO",United States,39.861667,-104.673056,DEN,Denver International,Non-Fatal,Substantial,N368CA,Bombardier,CL-600,SCHD,,0,0,74,VMC,VMC,74,TAKEOFF
CHI06LA016,10/26/05,2005,"Covington, KY",United States,39.046111,-84.663889,CVG,Cincinnati / Northern Kentucky,Non-Fatal,,N391CA,Bombardier,CL-600,SCHD,,0,1,24,VMC,VMC,25,STANDING
NYC06LA099,4/15/06,2006,"Front Royal, VA",United States,38.964722,-78.3625,,,Non-Fatal,,N934EV,Bombardier,CL-600,SCHD,,0,1,50,VMC,VMC,51,DESCENT
OPS08IA002A,12/2/07,2007,"Baltimore, MD",United States,39.175278,-76.668334,BWI,BALTIMORE-WASHINGTON INTL,Incident,,,Bombardier,CRJ-200,SCHD,,0,0,184,VMC,VMC,184,TAKEOFF
FTW95IA156,4/3/95,1995,"DFW AIRPORT, TX",United States,,,DFW,DALLAS/FORT WORTH,Incident,Minor,XASIJ,Boeing,727,NSCH,(DBA: AEROEXO),0,0,158,VMC,VMC,158,CLIMB
CHI97IA096,3/22/97,1997,"MANAUS, Brazil",Brazil,,,SBEG,EDUARDO GOMEZ AIRPORT,Incident,Minor,N707CK,Boeing,747,NSCH,(DBA: AIA),0,0,7,VMC,VMC,7,LANDING
SEA00LA094A,5/24/00,2000,"SEATTLE, WA",United States,,,BFI,KING CO INTL/BOEING FIELD,Non-Fatal,,N767AX,Boeing,767,NSCH,(DBA: AIRBORNE EXPRESS),0,0,4,VMC,VMC,4,TAXI
ANC98LA122,8/14/98,1998,"JUNEAU, AK",United States,,,JNU,JUNEAU INTERNATIONAL,Non-Fatal,Substantial,N799AS,Boeing,737,SCHD,"(DBA: ALASKA AIRLINES, INC)",0,0,145,VMC,VMC,145,LANDING
ANC01LA018,11/13/00,2000,"ANCHORAGE, AK",United States,,,,,Non-Fatal,,N611AS,Boeing,737,SCHD,(DBA: ALASKA AIRLINES),0,1,99,VMC,VMC,100,DESCENT
MIA96FA068B,1/23/96,1996,"MIAMI, FL",United States,,,MIA,MIAMI INTERNATIONAL,Non-Fatal,Substantial,IDEML,Boeing,747,SCHD,(DBA: ALITALIA),0,0,459,VMC,VMC,459,TAXI
FTW95LA167,4/11/95,1995,"SAN ANTONIO, TX",United States,,,SAT,SAN ANTONIO INTERNATIONAL,Non-Fatal,,N683A,Boeing,757,SCHD,"(DBA: AMERICAN AIRLINES, INC.)",0,1,129,VMC,VMC,130,OTHER
CHI98LA127,4/19/98,1998,"CHICAGO, IL",United States,,,ORD,O'HARE INTERNATIONAL,Non-Fatal,Minor,N722AA,Boeing,727,SCHD,(DBA: AMERICAN AIRLINES),0,1,153,VMC,VMC,154,STANDING
FTW00LA244,8/23/00,2000,GULF OF MEXICO,,,,,,Non-Fatal,Minor,N657AM,Boeing,757,SCHD,(DBA: AMERICAN AIRLINES),0,1,54,IMC,IMC,55,CRUISE
CHI99IA204,6/29/99,1999,"CHICAGO, IL",United States,,,ORD,O'HARE INTERNATIONAL,Incident,Minor,N384AA,Boeing,767,SCHD,(DBA: AMERICAN AIRLINES),0,0,186,VMC,VMC,186,TAXI
MIA00LA271,9/26/00,2000,"MIAMI, FL",United States,,,MIA,MIAMI INTERNATIONAL,Non-Fatal,,N789AN,Boeing,777,SCHD,(DBA: AMERICAN AIRLINES),0,1,167,VMC,VMC,168,DESCENT
CHI00LA268,8/22/00,2000,"BARABOO, WI",United States,,,,,Non-Fatal,,N785AN,Boeing,777,SCHD,(DBA: AMERICAN AIRLINES),0,1,250,IMC,IMC,251,DESCENT
LAX95IA229,6/29/95,1995,"ELKO, NV",United States,,,,,Incident,Minor,N457TM,Boeing,737,SCHD,(DBA: CASINO EXPRESS),0,0,84,VMC,VMC,84,DESCENT
IAD96IA044,2/20/96,1996,"WASHINGTON, DC",United States,,,DCA,WASHINGTON NATIONAL,Incident,Minor,N33202,Boeing,737,SCHD,(DBA: CONTINENTAL AIRLINES),0,0,79,IMC,IMC,79,LANDING
FTW97FA255,7/6/97,1997,"ALBUQUERQUE, NM",United States,,,ABQ,ALBUQUERQUE INTERNATIONAL,Non-Fatal,Substantial,N2809W,Boeing,727,SCHD,"(DBA: DELTA AIR LINES, INC.)",0,0,153,VMC,VMC,153,LANDING
NYC99LA064,2/22/99,1999,"COVINGTON, KY",United States,,,CVG,CINCINNATI INTERNATION,Non-Fatal,Substantial,N682DA,Boeing,757,SCHD,(DBA: DELTA AIR LINES),0,0,132,VMC,VMC,132,TAKEOFF
MIA00LA267,9/20/00,2000,"ATLANTA, GA",United States,,,,,Non-Fatal,,N172DZ,Boeing,767,SCHD,(DBA: DELTA AIRLINES INC.),0,3,230,VMC,VMC,233,DESCENT
MIA99LA272,9/27/99,1999,"ATLANTA, GA",United States,,,,,Non-Fatal,,N196DN,Boeing,767,SCHD,(DBA: DELTA AIRLINES),0,1,201,IMC,IMC,202,MANEUVERING
NYC96IA131,6/25/96,1996,"JAMAICA, NY",United States,,,,,Incident,Minor,N185DN,Boeing,767,SCHD,(DBA: DELTA AIRLINES),0,0,229,VMC,VMC,229,TAKEOFF
LAX96IA199,5/19/96,1996,"LOS ANGELES, CA",United States,,,,,Incident,Minor,N470EV,Boeing,747,SCHD,"(DBA: EVERGREEN INT'L AIRLINES, INC.)",0,0,3,VMC,VMC,3,CLIMB
